reference,customer_name,status
TV-20001,Ironbark Trading,in_transit
TV-20002,Sunrise Chemicals,picked_up
TV-20003,Summit Supplies,delivered
TV-20004,Kingsway Supplies,created
TV-20005,Eastlink Apparel Pty Ltd,created
TV-20006,Northern Electronics,created
TV-20007,Northern Logistics Co,delivered
TV-20008,Kingsway Wholesale Co,picked_up
TV-20009,Sunrise Grocers Pty Ltd,in_transit
TV-20010,Northern Supplies,created
TV-20011,Coastal Supplies Group,delivered
TV-20012,Golden Hardware Pty Ltd,delivered
TV-20013,Coastal Beverages Holdings,in_transit
TV-20014,Highfield Freight Pty Ltd,created
TV-20015,Ironbark Foods Co,picked_up
TV-20016,Westgate Textiles,picked_up
TV-20017,Lakeside Retail,picked_up
TV-20018,Fairwind Wholesale,delivered
TV-20019,Harbour Trading,created
TV-20020,Stonebridge Industrial Pty Ltd,in_transit
TV-20021,Silverline Apparel Co,delivered
TV-20022,Coastal Industrial Holdings,picked_up
TV-20023,Coastal Apparel,created
TV-20024,Lakeside Grocers,created
TV-20025,Coastal Hardware Co,delivered
TV-20026,Blackwood Retail Holdings,created
TV-20027,Blackwood Freight,picked_up
TV-20028,Stonebridge Trading,delivered
TV-20029,Westgate Grocers,created
TV-20030,Ironbark Apparel Pty Ltd,created
TV-20031,Baywater Motors,in_transit
TV-20032,Fairwind Logistics,picked_up
TV-20033,Riverside Packaging,in_transit
TV-20034,Northern Wholesale Group,delivered
TV-20035,Parkview Apparel Pty Ltd,delivered
TV-20036,Coastal Logistics,delivered
TV-20037,Blackwood Freight Holdings,created
TV-20038,Fairwind Foods,delivered
TV-20039,Baywater Motors Co,picked_up
TV-20040,Highfield Retail Pty Ltd,delivered
TV-20041,Summit Textiles,created
TV-20042,Silverline Grocers,in_transit
TV-20043,Westgate Packaging Holdings,created
TV-20044,Fairwind Pharma Co,in_transit
TV-20045,Redgum Supplies Holdings,picked_up
TV-20046,Golden Chemicals Co,delivered
TV-20047,Riverside Apparel Holdings,delivered
TV-20048,Parkview Components Holdings,created
TV-20049,Stonebridge Retail,in_transit
TV-20050,Harbour Supplies Holdings,in_transit
TV-20051,Golden Distribution Group,in_transit
TV-20052,Sunrise Textiles Holdings,in_transit
TV-20053,Harbour Chemicals,delivered
TV-20054,Eastlink Wholesale,in_transit
TV-20055,Summit Apparel Holdings,in_transit
TV-20056,Eastlink Logistics,in_transit
TV-20057,Riverside Beverages Group,in_transit
TV-20058,Ironbark Components,created
TV-20059,Lakeside Packaging Pty Ltd,in_transit
TV-20060,Redgum Logistics Group,picked_up
TV-20061,Kingsway Electronics Holdings,created
TV-20062,Parkview Supplies Holdings,created
TV-20063,Summit Packaging Pty Ltd,delivered
TV-20064,Northern Apparel,picked_up
TV-20065,Sunrise Components Group,in_transit
TV-20066,Silverline Grocers,delivered
TV-20067,Baywater Pharma Co,in_transit
TV-20068,Stonebridge Electronics,in_transit
TV-20069,Blackwood Pharma,delivered
TV-20070,Fairwind Supplies,delivered
TV-20071,Ironbark Distribution,created
TV-20072,Summit Chemicals,picked_up
TV-20073,Golden Hardware Group,delivered
TV-20074,Highfield Foods Group,created
TV-20075,Coastal Supplies Group,in_transit
TV-20076,Blackwood Trading Holdings,in_transit
TV-20077,Westgate Grocers,delivered
TV-20078,Westgate Textiles Holdings,delivered
TV-20079,Summit Packaging Co,in_transit
TV-20080,Golden Freight,in_transit
TV-20081,Blackwood Distribution,delivered
TV-20082,Coastal Textiles,created
TV-20083,Golden Supplies Holdings,in_transit
TV-20084,Summit Distribution,picked_up
TV-20085,Fairwind Distribution,in_transit
TV-20086,Summit Hardware Co,in_transit
TV-20087,Eastlink Industrial Co,delivered
TV-20088,Eastlink Distribution,in_transit
TV-20089,Kingsway Chemicals,in_transit
TV-20090,Redgum Beverages Pty Ltd,in_transit
TV-20091,Westgate Supplies,created
TV-20092,Summit Retail Co,picked_up
TV-20093,Lakeside Logistics,delivered
TV-20094,Northern Grocers Co,created
TV-20095,Redgum Pharma,delivered
TV-20096,Harbour Motors Co,picked_up
TV-20097,Fairwind Chemicals Pty Ltd,in_transit
TV-20098,Eastlink Hardware Holdings,in_transit
TV-20099,Summit Retail Co,delivered
TV-20100,Baywater Packaging,delivered
TV-20101,Northern Textiles Holdings,in_transit
TV-20102,Summit Trading Co,in_transit
TV-20103,Lakeside Trading,delivered
TV-20104,Ironbark Hardware,delivered
TV-20105,Riverside Pharma,created
TV-20106,Summit Beverages Pty Ltd,in_transit
TV-20107,Harbour Beverages Co,in_transit
TV-20108,Redgum Foods Co,in_transit
TV-20109,Harbour Grocers,in_transit
TV-20110,Highfield Logistics,in_transit
TV-20111,Highfield Supplies,in_transit
TV-20112,Blackwood Beverages Holdings,picked_up
TV-20113,Westgate Motors,in_transit
TV-20114,Harbour Packaging Pty Ltd,in_transit
TV-20115,Summit Distribution Co,in_transit
TV-20116,Parkview Hardware Holdings,created
TV-20117,Kingsway Trading,in_transit
TV-20118,Baywater Pharma Co,delivered
TV-20119,Silverline Wholesale Group,created
TV-20120,Westgate Distribution Co,in_transit
TV-20121,Fairwind Electronics,delivered
TV-20122,Northern Textiles,in_transit
TV-20123,Riverside Components,delivered
TV-20124,Redgum Industrial Group,created
TV-20125,Stonebridge Motors,picked_up
TV-20126,Blackwood Pharma Holdings,created
TV-20127,Golden Electronics Pty Ltd,delivered
TV-20128,Lakeside Supplies,delivered
TV-20129,Silverline Industrial,delivered
TV-20130,Highfield Beverages Co,delivered
TV-20131,Northern Apparel Holdings,created
TV-20132,Fairwind Logistics Group,delivered
TV-20133,Sunrise Motors Co,delivered
TV-20134,Harbour Supplies,created
TV-20135,Redgum Beverages,in_transit
TV-20136,Fairwind Packaging,created
TV-20137,Kingsway Trading Co,in_transit
TV-20138,Stonebridge Grocers,in_transit
TV-20139,Highfield Packaging Holdings,in_transit
TV-20140,Kingsway Beverages Group,delivered
TV-20141,Riverside Supplies Holdings,delivered
TV-20142,Lakeside Freight Group,delivered
TV-20143,Parkview Textiles Pty Ltd,picked_up
TV-20144,Ironbark Grocers,in_transit
TV-20145,Eastlink Beverages,delivered
TV-20146,Highfield Logistics Holdings,delivered
TV-20147,Parkview Components Group,delivered
TV-20148,Parkview Freight,in_transit
TV-20149,Sunrise Motors Pty Ltd,in_transit
TV-20150,Harbour Logistics,delivered
TV-20151,Sunrise Hardware,created
TV-20152,Eastlink Hardware Holdings,delivered
TV-20153,Redgum Textiles,delivered
TV-20154,Coastal Logistics,created
TV-20155,Golden Apparel Pty Ltd,delivered
TV-20156,Golden Motors,delivered
TV-20157,Coastal Chemicals Group,created
TV-20158,Redgum Foods Co,delivered
TV-20159,Sunrise Freight Holdings,in_transit
TV-20160,Fairwind Trading Co,in_transit
TV-20161,Silverline Beverages,created
TV-20162,Eastlink Electronics,in_transit
TV-20163,Highfield Industrial Pty Ltd,created
TV-20164,Harbour Supplies,created
TV-20165,Riverside Textiles,delivered
TV-20166,Eastlink Industrial,picked_up
TV-20167,Eastlink Components Group,in_transit
TV-20168,Fairwind Pharma,picked_up
TV-20169,Eastlink Supplies,failed
TV-20170,Parkview Grocers Holdings,in_transit
TV-20171,Kingsway Chemicals Group,delivered
TV-20172,Northern Hardware,created
TV-20173,Parkview Hardware,in_transit
TV-20174,Eastlink Distribution,created
TV-20175,Blackwood Motors,created
TV-20176,Northern Textiles,delivered
TV-20177,Blackwood Pharma,delivered
TV-20178,Ironbark Pharma Holdings,delivered
TV-20179,Baywater Retail Co,created
TV-20180,Sunrise Pharma,in_transit
TV-20181,Eastlink Industrial Pty Ltd,picked_up
TV-20182,Fairwind Wholesale,created
TV-20183,Blackwood Components Pty Ltd,failed
TV-20184,Ironbark Foods,picked_up
TV-20185,Fairwind Supplies Group,delivered
TV-20186,Parkview Motors Co,created
TV-20187,Northern Beverages,picked_up
TV-20188,Harbour Pharma,picked_up
TV-20189,Northern Electronics,created
TV-20190,Westgate Industrial Holdings,delivered
TV-20191,Stonebridge Hardware,picked_up
TV-20192,Riverside Retail,created
TV-20193,Sunrise Packaging Co,in_transit
TV-20194,Redgum Beverages Holdings,in_transit
TV-20195,Stonebridge Wholesale,delivered
TV-20196,Fairwind Packaging,in_transit
TV-20197,Summit Chemicals Holdings,delivered
TV-20198,Ironbark Hardware Holdings,picked_up
TV-20199,Sunrise Electronics Co,in_transit
TV-20200,Coastal Foods,in_transit
TV-20201,Sunrise Wholesale,delivered
TV-20202,Sunrise Foods,in_transit
TV-20203,Golden Logistics Pty Ltd,in_transit
TV-20204,Parkview Foods Holdings,in_transit
TV-20205,Ironbark Chemicals Co,created
TV-20206,Coastal Supplies,created
TV-20207,Golden Distribution,picked_up
TV-20208,Ironbark Electronics,picked_up
TV-20209,Eastlink Hardware,in_transit
TV-20210,Highfield Freight,in_transit
TV-20211,Parkview Chemicals Group,in_transit
TV-20212,Coastal Hardware,in_transit
TV-20213,Blackwood Beverages,delivered
TV-20214,Eastlink Logistics Co,in_transit
TV-20215,Redgum Motors,created
TV-20216,Westgate Chemicals,delivered
TV-20217,Fairwind Grocers Holdings,created
TV-20218,Blackwood Apparel,in_transit
TV-20219,Westgate Retail,in_transit
TV-20220,Parkview Components,picked_up
TV-20221,Silverline Beverages Pty Ltd,picked_up
TV-20222,Eastlink Components,created
TV-20223,Northern Textiles,in_transit
TV-20224,Eastlink Freight Co,delivered
TV-20225,Northern Electronics Pty Ltd,in_transit
TV-20226,Northern Chemicals Pty Ltd,picked_up
TV-20227,Sunrise Wholesale Co,delivered
TV-20228,Riverside Grocers,created
TV-20229,Redgum Chemicals Group,created
TV-20230,Stonebridge Retail Co,created
TV-20231,Northern Electronics Pty Ltd,picked_up
TV-20232,Baywater Electronics,in_transit
TV-20233,Highfield Apparel Pty Ltd,created
TV-20234,Stonebridge Pharma Group,in_transit
TV-20235,Westgate Beverages,in_transit
TV-20236,Northern Wholesale Holdings,delivered
TV-20237,Riverside Wholesale,delivered
TV-20238,Redgum Distribution Holdings,in_transit
TV-20239,Golden Logistics Holdings,picked_up
TV-20240,Riverside Freight Group,delivered
TV-20241,Redgum Electronics Co,delivered
TV-20242,Harbour Packaging,created
TV-20243,Northern Packaging,delivered
TV-20244,Lakeside Apparel,in_transit
TV-20245,Stonebridge Trading Pty Ltd,failed
TV-20246,Sunrise Logistics Pty Ltd,delivered
TV-20247,Parkview Supplies,picked_up
TV-20248,Westgate Apparel,in_transit
TV-20249,Parkview Freight Group,in_transit
TV-20250,Kingsway Apparel,created
TV-20251,Stonebridge Hardware Pty Ltd,delivered
TV-20252,Coastal Textiles,in_transit
TV-20253,Coastal Supplies Co,in_transit
TV-20254,Riverside Textiles,picked_up
TV-20255,Summit Logistics,picked_up
TV-20256,Golden Apparel Pty Ltd,delivered
TV-20257,Kingsway Packaging Co,picked_up
TV-20258,Blackwood Apparel,created
TV-20259,Summit Logistics,delivered
TV-20260,Highfield Distribution Group,in_transit
TV-20261,Ironbark Freight,in_transit
TV-20262,Harbour Freight,in_transit
TV-20263,Parkview Electronics,in_transit
TV-20264,Highfield Packaging,picked_up
TV-20265,Silverline Grocers Group,in_transit
TV-20266,Westgate Foods,created
TV-20267,Sunrise Distribution Group,created
TV-20268,Westgate Logistics Group,delivered
TV-20269,Lakeside Components,delivered
TV-20270,Highfield Logistics Pty Ltd,created
TV-20271,Westgate Textiles Co,delivered
TV-20272,Sunrise Components,in_transit
TV-20273,Lakeside Pharma Co,created
TV-20274,Lakeside Packaging Holdings,in_transit
TV-20275,Eastlink Components,delivered
TV-20276,Parkview Logistics Group,created
TV-20277,Coastal Distribution Pty Ltd,in_transit
TV-20278,Kingsway Distribution,delivered
TV-20279,Golden Distribution,picked_up
TV-20280,Coastal Components Holdings,delivered
TV-20281,Redgum Supplies Pty Ltd,delivered
TV-20282,Northern Industrial,delivered
TV-20283,Riverside Trading,in_transit
TV-20284,Fairwind Freight Co,delivered
TV-20285,Parkview Packaging,failed
TV-20286,Redgum Retail,in_transit
TV-20287,Parkview Chemicals Holdings,picked_up
TV-20288,Summit Trading Group,delivered
TV-20289,Summit Apparel,delivered
TV-20290,Summit Trading,delivered
TV-20291,Lakeside Packaging,delivered
TV-20292,Coastal Hardware,delivered
TV-20293,Silverline Distribution Holdings,failed
TV-20294,Summit Beverages,picked_up
TV-20295,Golden Textiles,created
TV-20296,Stonebridge Components,delivered
TV-20297,Golden Retail,created
TV-20298,Ironbark Components,delivered
TV-20299,Westgate Textiles,picked_up
TV-20300,Highfield Foods Co,delivered
TV-20301,Ironbark Wholesale,in_transit
TV-20302,Ironbark Packaging Co,picked_up
TV-20303,Sunrise Electronics,in_transit
TV-20304,Northern Packaging,delivered
TV-20305,Kingsway Beverages Pty Ltd,delivered
TV-20306,Kingsway Industrial,created
TV-20307,Stonebridge Beverages,in_transit
TV-20308,Coastal Distribution Pty Ltd,delivered
TV-20309,Ironbark Wholesale Holdings,in_transit
TV-20310,Parkview Wholesale,in_transit
TV-20311,Silverline Hardware,in_transit
TV-20312,Stonebridge Grocers Group,in_transit
TV-20313,Summit Hardware Co,delivered
TV-20314,Blackwood Electronics,delivered
TV-20315,Blackwood Freight Co,failed
TV-20316,Eastlink Freight Pty Ltd,in_transit
TV-20317,Parkview Wholesale Group,delivered
TV-20318,Ironbark Wholesale Group,created
TV-20319,Summit Textiles Group,delivered
TV-20320,Eastlink Wholesale Group,created
TV-20321,Blackwood Foods,delivered
TV-20322,Kingsway Logistics,in_transit
TV-20323,Northern Distribution,in_transit
TV-20324,Blackwood Grocers,delivered
TV-20325,Golden Electronics Holdings,delivered
TV-20326,Baywater Textiles,created
TV-20327,Eastlink Distribution Co,delivered
TV-20328,Silverline Electronics Pty Ltd,picked_up
TV-20329,Golden Supplies,created
TV-20330,Kingsway Foods,created
TV-20331,Blackwood Industrial Holdings,delivered
TV-20332,Parkview Electronics,failed
TV-20333,Lakeside Retail,created
TV-20334,Northern Chemicals Holdings,picked_up
TV-20335,Ironbark Textiles,in_transit
TV-20336,Sunrise Foods Pty Ltd,delivered
TV-20337,Fairwind Trading Pty Ltd,delivered
TV-20338,Fairwind Retail,in_transit
TV-20339,Baywater Grocers,delivered
TV-20340,Golden Packaging,delivered
TV-20341,Stonebridge Foods,picked_up
TV-20342,Summit Hardware,created
TV-20343,Blackwood Hardware Pty Ltd,in_transit
TV-20344,Lakeside Pharma Group,created
TV-20345,Northern Grocers Holdings,delivered
TV-20346,Highfield Components Holdings,delivered
TV-20347,Blackwood Components Pty Ltd,delivered
